Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Arnab,NFCDCH-LX-KDLFQ1T4VYV3TVN5959AJ24856G99U,Netflix Chrome Linux (Cadmium) HTML 5,2023-08-02T02:10:19.468,2023-08-24T09:12:45.833,2023-08-02T02:10:19.468,2023-08-24T08:49:04.787,2023-08-02T02:10:19.468,2023-08-24T09:12:45.833,2023-08-02T02:10:19.468,2023-08-24T08:49:04.787,
Guest,NFANDROID2-PRV-TCL2018UHDANDROIDTV-TCL==BEYONDTV-11768-AB27752CFE6E0E3DA200CCF9AC04CC6FD170C362E4471D7A446AFFD79E322DCC,TCL TV 2018 UHD Android TV Smart TV,2021-08-20T09:07:42.008,2023-08-13T17:04:33.311,2022-04-06T13:09:21.160,2023-08-13T17:04:19.020,2022-01-27T15:13:23.904,2023-08-13T17:04:33.311,2022-04-06T13:09:21.160,2023-08-13T17:04:19.020,
Arnab,NFCDCH-LX-K25Q4R0GDR5XXK9XMAFW1F80HXRVNR,Netflix Chrome Linux (Cadmium) HTML 5,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,2023-03-28T13:23:19.705,2023-07-23T07:51:28.676,
Subhrojeet,NFAPPL-02-IPHONE12=1-E5763DFD5B0B62FEC21B0099F4B88DDFE3EDC8B45BF9CB22CC589D2FEA2B297B,Apple iPhone 11,2022-06-13T18:05:42.448,2023-06-25T18:50:19.507,2022-06-13T18:05:42.448,2023-06-08T17:39:59.815,2022-06-13T18:05:42.448,2023-06-25T18:50:19.507,2022-06-13T18:05:42.448,2023-06-08T17:39:59.815,
Andy,NFCDCH-02-HURLQ3J01W98HH6RW966X2PCMNKTTL,Chrome PC (Cadmium),2022-05-28T18:19:24.187,2023-05-09T08:39:24.207,2022-05-28T18:19:24.187,2023-05-09T08:37:59.705,2022-05-28T18:19:24.187,2023-05-09T08:39:24.207,2022-05-28T18:19:24.187,2023-05-09T08:37:59.705,
Subhrojeet,NFANDROID1-PRV-P-SAMSUSM-G781B-19970-888994401474689E320ED85369E1AC3A06EF9F45B9A5A342A87EA65DCE57DDBE,DefaultWidevineAndroidPhone,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2023-05-02T03:50:38.643,2023-05-02T03:50:38.643,2023-05-02T03:50:38.643,2023-05-02T03:50:38.643,
Arnab,NFCDCH-LX-J9X4M4KCP3WFRJ23XMRN11K5L0EEUX,Netflix Chrome Linux (Cadmium) HTML 5,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,2022-06-06T23:49:58.790,2023-03-27T13:16:05.848,
Subhrojeet,NFANDROID1-PRV-P-XIAOMM2103K19I-21111-C07D687728E514FB409A470F4552F50ABC6CD118492C393CBC9239179CC213DE,DefaultWidevineAndroidPhone,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,2022-10-08T17:41:25.164,2023-03-17T19:28:18.796,
Guest,NFANDROID2-PRV-SONYANDROIDTV21WA2K-SONY=BRAVIA=VU2-18656-2D649F1FB41A9B3CD1E8994E7B38B684F97FE12898DFC7672A8ED50EFA29D6F5,Sony CE Sony Android TV 2020 VU2 2K Smart TV,2022-05-22T09:06:50.812,2023-12-09T07:17:25.048,2022-05-30T15:01:21.007,2023-12-09T07:17:25.048,2023-01-13T09:34:20.585,2023-01-13T09:36:15.335,2023-01-13T09:34:20.585,2023-01-13T09:36:15.335,
Guest,NFANDROID2-PRV-HSW4026ATL-TECHNXSTREAM=SMART=BOX=001-12801-C72BF3ADBFAC5B20D5B2A0F65EE5C3D7D5024F586E31875CFFC63992EEE4D242,Technicolor HSW4026ATL MVPD STB,2022-10-13T15:36:55.868,2023-11-01T12:10:28.518,2022-10-13T15:36:55.868,2023-11-01T10:52:20.024,2022-12-30T16:45:11.385,2022-12-30T16:52:24.032,2022-12-30T16:48:40.708,2022-12-30T16:52:24.032,
