Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Arnab,"The Office (U.S.): Season 9: ""Moving On""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 05:54:27,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":172000},{""eventType"":""playing"",""sessionOffsetMs"":2344,""mediaOffsetMs"":172000},{""eventType"":""paused"",""sessionOffsetMs"":561146,""mediaOffsetMs"":730533},{""eventType"":""playing"",""sessionOffsetMs"":606612,""mediaOffsetMs"":730669},{""eventType"":""paused"",""sessionOffsetMs"":1074720,""mediaOffsetMs"":1198286},{""eventType"":""playing"",""sessionOffsetMs"":1081985,""mediaOffsetMs"":1198352},{""eventType"":""stopped"",""sessionOffsetMs"":1210075,""mediaOffsetMs"":1326442}]"
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 05:54:23,IN,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":557,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":1838,""mediaOffsetMs"":983}]"
Arnab,The Big Bang Theory: Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-13 05:54:20,IN,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":2},{""eventType"":""playing"",""sessionOffsetMs"":775,""mediaOffsetMs"":2},{""eventType"":""stopped"",""sessionOffsetMs"":1208,""mediaOffsetMs"":220}]"
Arnab,"Volume 3 Trailer: Love, Death & Robots",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:53:29,IN,"[{""eventType"":""start"",""sessionOffsetMs"":30,""mediaOffsetMs"":20},{""eventType"":""playing"",""sessionOffsetMs"":1195,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":1573,""mediaOffsetMs"":315}]"
Arnab,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura_hook_04_16x9",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:52:41,IN,"[{""eventType"":""start"",""sessionOffsetMs"":17,""mediaOffsetMs"":3},{""eventType"":""playing"",""sessionOffsetMs"":620,""mediaOffsetMs"":3},{""eventType"":""stopped"",""sessionOffsetMs"":10914,""mediaOffsetMs"":9977}]"
Arnab,"One Piece: Episode of Chopper: Bloom in the Winter, Miracle Sakura_hook_04_16x9",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:52:32,IN,"[{""eventType"":""start"",""sessionOffsetMs"":6,""mediaOffsetMs"":1},{""eventType"":""playing"",""sessionOffsetMs"":784,""mediaOffsetMs"":1},{""eventType"":""stopped"",""sessionOffsetMs"":7757,""mediaOffsetMs"":6598}]"
Arnab,Shaolin Soccer_hook_04_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:52:15,IN,"[{""eventType"":""start"",""sessionOffsetMs"":43,""mediaOffsetMs"":8},{""eventType"":""playing"",""sessionOffsetMs"":1250,""mediaOffsetMs"":8},{""eventType"":""stopped"",""sessionOffsetMs"":2119,""mediaOffsetMs"":741}]"
Arnab,One Piece Film: Strong World,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:20:21,IN,[]
Arnab,One Piece Film: Strong World_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:20:18,IN,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":2},{""eventType"":""playing"",""sessionOffsetMs"":724,""mediaOffsetMs"":2},{""eventType"":""stopped"",""sessionOffsetMs"":2260,""mediaOffsetMs"":1275}]"
Arnab,Shaolin Soccer_hook_04_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-12 19:19:45,IN,"[{""eventType"":""start"",""sessionOffsetMs"":58,""mediaOffsetMs"":9},{""eventType"":""playing"",""sessionOffsetMs"":1441,""mediaOffsetMs"":9},{""eventType"":""stopped"",""sessionOffsetMs"":4082,""mediaOffsetMs"":2381}]"
