Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=1%2C0%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286861?trackId=14170286,2024-05-13 10:41:21
Arnab,www,browseTitles,/browse?jbv=81511410,/browse,2024-05-13 10:41:20
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=1%2C0%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-13 10:41:20
Arnab,www,movieDetails,/watch/81511426?trackId=14170287,/browse?jbv=81511410,2024-05-13 10:41:18
Arnab,www,browseTitles,/browse?jbv=81511410,/browse,2024-05-13 10:41:18
Arnab,www,movieDetails,/watch/81511426?trackId=14170287,/browse?jbv=81511410,2024-05-13 10:41:15
Arnab,www,playback,/watch/81511410?trackId=14170287&tctx=1%2C2%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C81511410%2CVideo%3A81511410%2CminiDpPlayButton,/watch/81511426?trackId=14170287,2024-05-13 10:41:14
Arnab,www,browseTitles,/browse,/browse?jbv=81511410,2024-05-13 10:41:06
Arnab,www,playback,/browse?jbv=81511410,/watch/81511410?trackId=14170287&tctx=1%2C2%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C81511410%2CVideo%3A81511410%2CminiDpPlayButton,2024-05-13 10:41:06
Arnab,www,playback,/browse?jbv=81511410,/watch/81511410?trackId=14170287&tctx=1%2C2%2C473b7b7b-f920-45bf-b808-d43174b9f99e-274690590%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-703BBBCC17_p_1715596833270%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715596833270%2C%2C%2C%2C81511410%2CVideo%3A81511410%2CminiDpPlayButton,2024-05-13 10:41:06
